Country,Continent,Population,Percent Evangelical,Percent Christian Adherent,Percent Unreached,Primary Religion,Unreached People Groups
Serbia,Europe,6560000,0.7,78.1,22.2,Christianity,6
Seychelles,Africa,129000,7.0,96.2,0.0,Christianity,0
Sierra Leone,Africa,8767000,4.9,12.8,44.4,Islam,12
Singapore,Asia,5806000,7.1,12.9,42.5,Buddhism,17
Sint Maarten,North America,43000,7.9,88.6,0.0,Christianity,0
Slovakia,Europe,5403000,1.5,92.5,13.3,Christianity,2
Slovenia,Europe,2080000,0.2,54.0,8.3,Christianity,1
Solomon Islands,Oceania,814000,31.3,95.4,1.4,Christianity,1
Somalia,Africa,19468000,0.1,0.5,90.9,Islam,20
South Africa,Africa,64347000,21.1,76.8,12.9,Christianity,8
South Sudan,Africa,12106000,19.8,63.7,7.5,Christianity,6
Spain,Europe,47786000,1.6,77.0,14.3,Christianity,11
Sri Lanka,Asia,23006000,0.0,7.6,39.6,Buddhism,55
St Vincent and Grenadines,North America,96000,41.5,89.2,0.0,Christianity,0
Sudan,Africa,51216000,0.5,2.3,84.8,Islam,168
Suriname,Latin America,622000,17.3,48.6,9.1,Christianity,2
Svalbard,Europe,2500,6.6,90.9,0.0,Christianity,0
Sweden,Europe,10552000,5.7,54.8,32.4,Christianity,24
Switzerland,Europe,8849000,4.0,75.6,29.3,Christianity,17
Syria,Asia,25300000,0.2,5.4,63.3,Islam,19
Taiwan,Asia,23049000,3.3,6.4,25.0,Ethnic Religions,8
Tajikistan,Asia,10734000,0.1,0.4,86.2,Islam,25
Tanzania,Africa,70041000,11.0,50.5,15.6,Christianity,24
Thailand,Asia,71255000,0.8,1.8,66.4,Buddhism,73
Timor-Leste,Asia,1379000,2.5,90.7,4.8,Christianity,1
Togo,Africa,9584000,11.1,45.2,16.7,Christianity,9
Tokelau,Oceania,2900,3.4,100.0,0.0,Christianity,0
Tonga,Oceania,100000,15.8,95.9,0.0,Christianity,0
Trinidad and Tobago,North America,1463000,23.9,66.6,0.0,Christianity,0
Tunisia,Africa,12316000,0.0,0.5,88.9,Islam,16
Turkey,Asia,87515000,0.0,0.6,71.8,Islam,61
Turkmenistan,Asia,7506000,0.1,3.7,71.4,Islam,20
Turks and Caicos Islands,North America,45000,32.2,90.7,0.0,Christianity,0
Tuvalu,Oceania,8700,22.9,98.0,0.0,Christianity,0
Uganda,Africa,51075000,34.1,84.3,3.0,Christianity,2
Ukraine,Europe,38516000,3.7,72.5,28.6,Christianity,16
United Arab Emirates,Asia,11239000,1.5,6.6,81.8,Islam,36
United Kingdom,Europe,69417000,7.5,55.6,32.8,Christianity,40
United States,North America,345733000,26.6,76.5,18.1,Christianity,90
Uruguay,Latin America,3304000,7.3,66.3,8.3,Christianity,2
Uzbekistan,Asia,36695000,0.2,2.3,59.1,Islam,26
Vanuatu,Oceania,321000,41.6,91.1,0.0,Christianity,0
Vatican City,Europe,1000,2.5,100.0,0.0,Christianity,0
Venezuela,Latin America,28346000,12.2,82.4,6.3,Christianity,4
Vietnam,Asia,100766000,2.2,10.2,59.5,Buddhism,69
Virgin Islands US,North America,82000,24.5,94.2,0.0,Christianity,0
Wallis and Futuna Islands,Oceania,11000,1.8,98.5,0.0,Christianity,0
West Bank Gaza,Asia,5538000,1.1,2.5,75.0,Islam,6
Western Sahara,Africa,578000,0.0,0.0,100.0,Islam,10
Yemen,Asia,41367000,0.0,0.2,71.4,Islam,20
Zambia,Africa,21729000,25.1,86.3,5.3,Christianity,4
Zimbabwe,Africa,16761000,25.3,76.6,7.5,Christianity,3
